duration,v_min,v_max,v_mean,v_std,i_mean,i_std,t_max,t_mean,t_std,v_drop_rate,battery_id,cycle_number,ambient_temperature,Capacity,SOH
3690.234,2.612467347907089,4.191491807505295,3.5298286688693397,0.23655823616646718,1.818711710270297,0.5950284634650128,38.98218133148803,32.572328114029,3.495804364444765,0.0004278927730865321,B0005,1,24,1.8564874208181572,1.0
3672.344,2.587208728940726,4.189773213846608,3.5373201277859714,0.23536612087025036,1.8176438989718113,0.5964463863457363,39.03339796678704,32.72523522519307,3.4355094885337074,0.00043638735502607646,B0005,2,24,1.846327249719927,0.9945272071416715
3651.641,2.65191689384378,4.188186735991303,3.5437367282719,0.228111087522163,1.8165423469233573,0.5978630057206666,38.81879668981741,32.64286193755933,3.3881738346115653,0.00042070670204095187,B0005,3,24,1.835349194223408,0.9886138595081707
3631.563,2.592947964776547,4.188461118855572,3.5436661072601456,0.2333465027689954,1.8256179748849433,0.584881798805213,38.7623045063458,32.51487646204882,3.3953058258571187,0.0004393461311504233,B0005,4,24,1.8352625275821128,0.9885671763794174
3629.172,2.547419651124539,4.188298524761055,3.5423432526672167,0.2373009622577082,1.82614786516938,0.5848717703294314,38.66539257343368,32.38234901543077,3.4046669433807017,0.0004521358793786891,B0005,5,24,1.8346455082120416,0.9882348178817771
3652.281,2.5209480504077413,4.188815807948604,3.5413347346347575,0.23993226167114742,1.8168998532879652,0.5979657995808966,38.75169504640032,32.43418218230641,3.426121786903715,0.0004566646864085383,B0005,6,24,1.8356616600675493,0.9887821697485943
3650.828,2.487927319492314,4.18839163793879,3.5410250495075215,0.24313957024653737,1.8168378953364732,0.5978845151220648,38.8207012322275,32.480416444757985,3.4283444842023885,0.00046577497445688374,B0005,7,24,1.8351461429226603,0.9885044855913477
3572.453,2.665204904745877,4.188927891511958,3.554133296801584,0.2279099167513015,1.8444082717328028,0.5586255129290137,38.51713023385634,32.41046186109587,3.36042464000267,0.00042652009327094886,B0005,8,24,1.8257567905665535,0.9834468955151549
3550.594,2.603858472633368,4.189029250882121,3.5529355991467955,0.23306799549076232,1.854064004450843,0.5436045066383808,38.526267904657,32.3461408313,3.381314274142603,0.0004464522776326308,B0005,9,24,1.8247738529891333,0.9829174345738105
3551.25,2.552853984885676,4.189223427076418,3.5512057319376997,0.23735414167102423,1.853658588102974,0.5435322218112262,38.52698128472781,32.27679750791685,3.3932601951659334,0.00046078688974044124,B0005,10,24,1.824613268496936,0.9828309354731991
3530.25,2.472448301852732,4.188916055911241,3.549292319740949,0.24374302251465715,1.8634237189304172,0.5279855867861206,38.54143406601644,32.15709350345252,3.4283380241436188,0.00048621705376630797,B0005,11,24,1.8246195526864504,0.9828343204622079
3491.016,2.64956413267546,4.189876247266316,3.559759220648976,0.22947624709797806,1.8730031464912946,0.5129456241954856,38.52197451768004,32.36407129853099,3.3726289573752837,0.0004412217287433961,B0005,12,24,1.814201935767392,0.9772228539894281
3470.281,2.5724981777366227,4.189286794768804,3.558081969139198,0.23524097823363496,1.882660242467496,0.495422701044769,38.582485834057856,32.3181954403762,3.3830347534459797,0.00046589559088505543,B0005,13,24,1.8137521577549052,0.9769805803238794
